#: table_doi: 10.17182/hepdata.144768.v1/t1
#: name: Table 1
#: description: The measured differential cross-sections compared to the predictions in the $m_{4\ell}$ bins
#: data_file: table_1.yaml
#: keyword observables: XS
#: keyword reactions: P P --> Z Z --> 4l
#: keyword cmenergies: 13600
#: keyword phrases: ZZ Production
#: LUMINOSITY [fb$^{-1}$],,,29
#: SQRT(S) [GeV],,,13600
$m_{4\ell}$ [GeV],$m_{4\ell}$ [GeV] LOW,$m_{4\ell}$ [GeV] HIGH,d$\sigma$/d$m_{4\ell}$ (obs.) [fb/GeV],syst. +,syst. -,total +,total -
190.0,180.0,200.0,0.2679,0.0138,-0.0138,0.0352,-0.0352
210.0,200.0,220.0,0.3626,0.0145,-0.0145,0.0392,-0.0392
230.0,220.0,240.0,0.2393,0.0102,-0.0102,0.0316,-0.0316
252.5,240.0,265.0,0.2312,0.0095,-0.0095,0.0277,-0.0277
277.5,265.0,290.0,0.1434,0.0068,-0.0068,0.0217,-0.0217
305.0,290.0,320.0,0.0905,0.0044,-0.0044,0.0156,-0.0156
335.0,320.0,350.0,0.0573,0.0032,-0.0032,0.0126,-0.0126
370.0,350.0,390.0,0.0334,0.0025,-0.0025,0.0084,-0.0084
415.0,390.0,440.0,0.0289,0.0021,-0.0021,0.0069,-0.0069
480.0,440.0,520.0,0.0201,0.0013,-0.0013,0.0045,-0.0045
570.0,520.0,620.0,0.0046,0.0007,-0.0007,0.0019,-0.0019
910.0,620.0,1200.0,0.001,0.0001,-0.0001,0.0003,-0.0003

#: LUMINOSITY [fb$^{-1}$],,,29
#: SQRT(S) [GeV],,,13600
$m_{4\ell}$ [GeV],$m_{4\ell}$ [GeV] LOW,$m_{4\ell}$ [GeV] HIGH,d$\sigma$/d$m_{4\ell}$ (Sherpa qqNLO) [fb/GeV],syst. +,syst. -
190.0,180.0,200.0,0.2904,0.033,-0.033
210.0,200.0,220.0,0.3452,0.038,-0.038
230.0,220.0,240.0,0.2685,0.0309,-0.0309
252.5,240.0,265.0,0.1964,0.023,-0.023
277.5,265.0,290.0,0.1351,0.0165,-0.0165
305.0,290.0,320.0,0.0935,0.0116,-0.0116
335.0,320.0,350.0,0.0641,0.0079,-0.0079
370.0,350.0,390.0,0.0432,0.0056,-0.0056
415.0,390.0,440.0,0.0274,0.0034,-0.0034
480.0,440.0,520.0,0.0151,0.0021,-0.0021
570.0,520.0,620.0,0.0068,0.0014,-0.0014
910.0,620.0,1200.0,0.0012,0.0002,-0.0002

#: LUMINOSITY [fb$^{-1}$],,,29
#: SQRT(S) [GeV],,,13600
$m_{4\ell}$ [GeV],$m_{4\ell}$ [GeV] LOW,$m_{4\ell}$ [GeV] HIGH,d$\sigma$/d$m_{4\ell}$ (Sherpa qq[NLOxNLO EW]) [fb/GeV],syst. +,syst. -
190.0,180.0,200.0,0.2625,0.03,-0.03
210.0,200.0,220.0,0.3089,0.0341,-0.0341
230.0,220.0,240.0,0.2387,0.0276,-0.0276
252.5,240.0,265.0,0.1741,0.0205,-0.0205
277.5,265.0,290.0,0.1195,0.0147,-0.0147
305.0,290.0,320.0,0.0819,0.0103,-0.0103
335.0,320.0,350.0,0.0561,0.0069,-0.0069
370.0,350.0,390.0,0.0377,0.0049,-0.0049
415.0,390.0,440.0,0.0238,0.003,-0.003
480.0,440.0,520.0,0.013,0.0018,-0.0018
570.0,520.0,620.0,0.0057,0.0012,-0.0012
910.0,620.0,1200.0,0.001,0.0001,-0.0001

#: LUMINOSITY [fb$^{-1}$],,,29
#: SQRT(S) [GeV],,,13600
$m_{4\ell}$ [GeV],$m_{4\ell}$ [GeV] LOW,$m_{4\ell}$ [GeV] HIGH,d$\sigma$/d$m_{4\ell}$ (MATRIX qqNNLO) [fb/GeV],syst. +,syst. -
190.0,180.0,200.0,0.2933,0.0078,-0.0078
210.0,200.0,220.0,0.3635,0.0087,-0.0087
230.0,220.0,240.0,0.2886,0.0069,-0.0069
252.5,240.0,265.0,0.2096,0.0057,-0.0057
277.5,265.0,290.0,0.1451,0.004,-0.004
305.0,290.0,320.0,0.1028,0.0033,-0.0033
335.0,320.0,350.0,0.0698,0.0019,-0.0019
370.0,350.0,390.0,0.0477,0.0016,-0.0016
415.0,390.0,440.0,0.0292,0.0009,-0.0009
480.0,440.0,520.0,0.0158,0.0005,-0.0005
570.0,520.0,620.0,0.0074,0.0002,-0.0002
910.0,620.0,1200.0,0.0013,0.0001,-0.0001

#: LUMINOSITY [fb$^{-1}$],,,29
#: SQRT(S) [GeV],,,13600
$m_{4\ell}$ [GeV],$m_{4\ell}$ [GeV] LOW,$m_{4\ell}$ [GeV] HIGH,d$\sigma$/d$m_{4\ell}$ (MATRIX qq[NNLOxNLO EW]) [fb/GeV],syst. +,syst. -
190.0,180.0,200.0,0.293,0.0078,-0.0078
210.0,200.0,220.0,0.3435,0.0086,-0.0086
230.0,220.0,240.0,0.2691,0.0068,-0.0068
252.5,240.0,265.0,0.194,0.0056,-0.0056
277.5,265.0,290.0,0.1335,0.0038,-0.0038
305.0,290.0,320.0,0.0944,0.0031,-0.0031
335.0,320.0,350.0,0.0639,0.0018,-0.0018
370.0,350.0,390.0,0.0431,0.0015,-0.0015
415.0,390.0,440.0,0.0259,0.0008,-0.0008
480.0,440.0,520.0,0.014,0.0004,-0.0004
570.0,520.0,620.0,0.0064,0.0002,-0.0002
910.0,620.0,1200.0,0.0011,0.0001,-0.0001

