#: table_doi: 10.17182/hepdata.102956.v1/t38
#: name: parton_abs_ttm_covariance
#: description: differential cross sections.
#: data_file: parton_abs_ttm_covariance.yaml
#: keyword reactions: P P --> TOP TOPBAR
#: keyword observables: DN/DQ(TT)
#: keyword cmenergies: 13000.0
#: keyword phrases: Differential Cross Section | Cross Section | Proton-Proton Scattering | top quark Production | top quark pair Production
bin number,bin number LOW,bin number HIGH,bin number,bin number LOW,bin number HIGH,covariance
1.0,0.5,1.5,1.0,0.5,1.5,0.0001765
2.0,1.5,2.5,1.0,0.5,1.5,9.763e-05
3.0,2.5,3.5,1.0,0.5,1.5,0.0001037
4.0,3.5,4.5,1.0,0.5,1.5,3.994e-05
5.0,4.5,5.5,1.0,0.5,1.5,3.266e-05
6.0,5.5,6.5,1.0,0.5,1.5,1.283e-05
7.0,6.5,7.5,1.0,0.5,1.5,1.142e-05
8.0,7.5,8.5,1.0,0.5,1.5,5.437e-06
9.0,8.5,9.5,1.0,0.5,1.5,2.1e-06
10.0,9.5,10.5,1.0,0.5,1.5,1.681e-06
11.0,10.5,11.5,1.0,0.5,1.5,4.062e-07
12.0,11.5,12.5,1.0,0.5,1.5,3.187e-07
13.0,12.5,13.5,1.0,0.5,1.5,6.711e-08
14.0,13.5,14.5,1.0,0.5,1.5,1.377e-08
15.0,14.5,15.5,1.0,0.5,1.5,4.537e-09
1.0,0.5,1.5,2.0,1.5,2.5,9.763e-05
2.0,1.5,2.5,2.0,1.5,2.5,0.001728
3.0,2.5,3.5,2.0,1.5,2.5,0.0008966
4.0,3.5,4.5,2.0,1.5,2.5,0.0005807
5.0,4.5,5.5,2.0,1.5,2.5,0.0003121
6.0,5.5,6.5,2.0,1.5,2.5,0.0002079
7.0,6.5,7.5,2.0,1.5,2.5,0.0001076
8.0,7.5,8.5,2.0,1.5,2.5,7.04e-05
9.0,8.5,9.5,2.0,1.5,2.5,3.258e-05
10.0,9.5,10.5,2.0,1.5,2.5,1.723e-05
11.0,10.5,11.5,2.0,1.5,2.5,6.649e-06
12.0,11.5,12.5,2.0,1.5,2.5,3.36e-06
13.0,12.5,13.5,2.0,1.5,2.5,1.171e-06
14.0,13.5,14.5,2.0,1.5,2.5,3.916e-07
15.0,14.5,15.5,2.0,1.5,2.5,4.389e-08
1.0,0.5,1.5,3.0,2.5,3.5,0.0001037
2.0,1.5,2.5,3.0,2.5,3.5,0.0008966
3.0,2.5,3.5,3.0,2.5,3.5,0.0005545
4.0,3.5,4.5,3.0,2.5,3.5,0.0002992
5.0,4.5,5.5,3.0,2.5,3.5,0.0002
6.0,5.5,6.5,3.0,2.5,3.5,0.0001094
7.0,6.5,7.5,3.0,2.5,3.5,6.746e-05
8.0,7.5,8.5,3.0,2.5,3.5,3.989e-05
9.0,8.5,9.5,3.0,2.5,3.5,1.939e-05
10.0,9.5,10.5,3.0,2.5,3.5,1.022e-05
11.0,10.5,11.5,3.0,2.5,3.5,3.949e-06
12.0,11.5,12.5,3.0,2.5,3.5,2.01e-06
13.0,12.5,13.5,3.0,2.5,3.5,6.947e-07
14.0,13.5,14.5,3.0,2.5,3.5,2.288e-07
15.0,14.5,15.5,3.0,2.5,3.5,2.762e-08
1.0,0.5,1.5,4.0,3.5,4.5,3.994e-05
2.0,1.5,2.5,4.0,3.5,4.5,0.0005807
3.0,2.5,3.5,4.0,3.5,4.5,0.0002992
4.0,3.5,4.5,4.0,3.5,4.5,0.0002231
5.0,4.5,5.5,4.0,3.5,4.5,9.437e-05
6.0,5.5,6.5,4.0,3.5,4.5,8.514e-05
7.0,6.5,7.5,4.0,3.5,4.5,3.502e-05
8.0,7.5,8.5,4.0,3.5,4.5,2.746e-05
9.0,8.5,9.5,4.0,3.5,4.5,1.144e-05
10.0,9.5,10.5,4.0,3.5,4.5,6.574e-06
11.0,10.5,11.5,4.0,3.5,4.5,2.423e-06
12.0,11.5,12.5,4.0,3.5,4.5,1.266e-06
13.0,12.5,13.5,4.0,3.5,4.5,4.395e-07
14.0,13.5,14.5,4.0,3.5,4.5,1.432e-07
15.0,14.5,15.5,4.0,3.5,4.5,1.691e-08
