#: table_doi: 10.17182/hepdata.134011.v1/t3
#: name: Table 2
#: description: Covariance matrix of the Absolute differential cross-section as function of $p_T^{t,h}$ at particle level in the boosted topology, accounting for the statistical uncertainties.

#: data_file: Table1.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Top | Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 13000.0
#: SQRT(S),,,,,13000.0
PT_THAD [GeV],PT_THAD [GeV] LOW,PT_THAD [GeV] HIGH,PT_THAD [GeV],PT_THAD [GeV] LOW,PT_THAD [GeV] HIGH,Covariance matrix [pb$^{2}$/GeV$^2$]
368.0,355.0,381.0,368.0,355.0,381.0,1.142214e-08
368.0,355.0,381.0,400.5,381.0,420.0,1.325784e-09
368.0,355.0,381.0,449.0,420.0,478.0,-1.663448e-09
368.0,355.0,381.0,513.5,478.0,549.0,2.868488e-12
368.0,355.0,381.0,591.0,549.0,633.0,3.979517e-11
368.0,355.0,381.0,676.5,633.0,720.0,2.339939e-11
368.0,355.0,381.0,778.0,720.0,836.0,4.41265e-12
368.0,355.0,381.0,1418.0,836.0,2000.0,-2.616067e-13
400.5,381.0,420.0,368.0,355.0,381.0,1.325784e-09
400.5,381.0,420.0,400.5,381.0,420.0,3.858134e-09
400.5,381.0,420.0,449.0,420.0,478.0,3.05611e-10
400.5,381.0,420.0,513.5,478.0,549.0,-4.043711e-10
400.5,381.0,420.0,591.0,549.0,633.0,1.521823e-11
400.5,381.0,420.0,676.5,633.0,720.0,3.083766e-11
400.5,381.0,420.0,778.0,720.0,836.0,4.475435e-12
400.5,381.0,420.0,1418.0,836.0,2000.0,1.500924e-13
449.0,420.0,478.0,368.0,355.0,381.0,-1.663448e-09
449.0,420.0,478.0,400.5,381.0,420.0,3.05611e-10
449.0,420.0,478.0,449.0,420.0,478.0,2.14209e-09
449.0,420.0,478.0,513.5,478.0,549.0,-4.282184e-11
449.0,420.0,478.0,591.0,549.0,633.0,-1.242758e-10
449.0,420.0,478.0,676.5,633.0,720.0,7.846414e-12
449.0,420.0,478.0,778.0,720.0,836.0,8.585527e-13
449.0,420.0,478.0,1418.0,836.0,2000.0,-4.532174e-13
513.5,478.0,549.0,368.0,355.0,381.0,2.868488e-12
513.5,478.0,549.0,400.5,381.0,420.0,-4.043711e-10
513.5,478.0,549.0,449.0,420.0,478.0,-4.282184e-11
513.5,478.0,549.0,513.5,478.0,549.0,9.223829e-10
513.5,478.0,549.0,591.0,549.0,633.0,-2.658358e-11
513.5,478.0,549.0,676.5,633.0,720.0,-5.051675e-11
513.5,478.0,549.0,778.0,720.0,836.0,1.007103e-12
513.5,478.0,549.0,1418.0,836.0,2000.0,1.404324e-13
591.0,549.0,633.0,368.0,355.0,381.0,3.979517e-11
591.0,549.0,633.0,400.5,381.0,420.0,1.521823e-11
591.0,549.0,633.0,449.0,420.0,478.0,-1.242758e-10
591.0,549.0,633.0,513.5,478.0,549.0,-2.658358e-11
591.0,549.0,633.0,591.0,549.0,633.0,3.46679e-10
591.0,549.0,633.0,676.5,633.0,720.0,-1.175331e-11
591.0,549.0,633.0,778.0,720.0,836.0,-1.582259e-11
591.0,549.0,633.0,1418.0,836.0,2000.0,1.482517e-13
676.5,633.0,720.0,368.0,355.0,381.0,2.339939e-11
676.5,633.0,720.0,400.5,381.0,420.0,3.083766e-11
676.5,633.0,720.0,449.0,420.0,478.0,7.846414e-12
676.5,633.0,720.0,513.5,478.0,549.0,-5.051675e-11
676.5,633.0,720.0,591.0,549.0,633.0,-1.175331e-11
676.5,633.0,720.0,676.5,633.0,720.0,1.503833e-10
676.5,633.0,720.0,778.0,720.0,836.0,-4.152634e-12
676.5,633.0,720.0,1418.0,836.0,2000.0,-4.322602e-13
778.0,720.0,836.0,368.0,355.0,381.0,4.41265e-12
778.0,720.0,836.0,400.5,381.0,420.0,4.475435e-12
778.0,720.0,836.0,449.0,420.0,478.0,8.585527e-13
778.0,720.0,836.0,513.5,478.0,549.0,1.007103e-12
778.0,720.0,836.0,591.0,549.0,633.0,-1.582259e-11
778.0,720.0,836.0,676.5,633.0,720.0,-4.152634e-12
778.0,720.0,836.0,778.0,720.0,836.0,4.672008e-11
778.0,720.0,836.0,1418.0,836.0,2000.0,-4.819765e-13
1418.0,836.0,2000.0,368.0,355.0,381.0,-2.616067e-13
1418.0,836.0,2000.0,400.5,381.0,420.0,1.500924e-13
1418.0,836.0,2000.0,449.0,420.0,478.0,-4.532174e-13
1418.0,836.0,2000.0,513.5,478.0,549.0,1.404324e-13
1418.0,836.0,2000.0,591.0,549.0,633.0,1.482517e-13
1418.0,836.0,2000.0,676.5,633.0,720.0,-4.322602e-13
1418.0,836.0,2000.0,778.0,720.0,836.0,-4.819765e-13
1418.0,836.0,2000.0,1418.0,836.0,2000.0,2.477684e-13

