#: table_doi: 10.17182/hepdata.102956.v1/t37
#: name: parton_abs_ttm
#: description: differential cross sections.
#: data_file: parton_abs_ttm.yaml
#: keyword reactions: P P --> TOP TOPBAR
#: keyword observables: DN/DQ(TT)
#: keyword cmenergies: 13000.0
#: keyword phrases: Differential Cross Section | Cross Section | Proton-Proton Scattering | top quark Production | top quark pair Production
$m(\mathrm{t}\mathrm{\bar{t}})$ [GeV],$m(\mathrm{t}\mathrm{\bar{t}})$ [GeV] LOW,$m(\mathrm{t}\mathrm{\bar{t}})$ [GeV] HIGH,"$\frac{d\sigma}{dm(\mathrm{t}\mathrm{\bar{t}})}$ [$\mathrm{pb}\,\mathrm{GeV}^{-1}$]",stat +,stat -,sys +,sys -
325.0,250.0,400.0,0.3442,0.001604,-0.001604,0.01319,-0.01319
440.0,400.0,480.0,0.8717,0.004784,-0.004784,0.04129,-0.04129
520.0,480.0,560.0,0.5428,0.004737,-0.004737,0.02307,-0.02307
600.0,560.0,640.0,0.3153,0.004561,-0.004561,0.01422,-0.01422
680.0,640.0,720.0,0.1809,0.004331,-0.004331,0.008395,-0.008395
760.0,720.0,800.0,0.1096,0.003748,-0.003748,0.005468,-0.005468
850.0,800.0,900.0,0.06251,0.002253,-0.002253,0.003026,-0.003026
950.0,900.0,1000.0,0.03697,0.00155,-0.00155,0.001988,-0.001988
1075.0,1000.0,1150.0,0.01784,0.0006554,-0.0006554,0.0009134,-0.0009134
1225.0,1150.0,1300.0,0.009005,0.0004129,-0.0004129,0.0005086,-0.0005086
1400.0,1300.0,1500.0,0.003815,0.0002151,-0.0002151,0.0002024,-0.0002024
1600.0,1500.0,1700.0,0.001769,0.0001441,-0.0001441,0.0001108,-0.0001108
1850.0,1700.0,2000.0,0.0006941,6.014e-05,-6.014e-05,3.967e-05,-3.967e-05
2150.0,2000.0,2300.0,0.0001905,3.459e-05,-3.459e-05,1.697e-05,-1.697e-05
2900.0,2300.0,3500.0,3.147e-05,4.692e-06,-4.692e-06,2.366e-06,-2.366e-06

